Services/Products,Key Benefits,Key Features,Key Llimitations,Pricing,USP
Unified Gaming eWallet,More benefits on every gaming purchase,Exclusive eWallet to be used at any game to avail 20% more benefit at every transaction,"Cash cannot be drawn
Points collected can be redeemed with different merchandise coupons or shopping vouchers,",Zero transaction fee,
CampusPay,"Free canteen/stationary from your campus
Users will get equal points for every transactions made and that point can be used to make any gaming purchase. ",Accepted across all college canteens and fests,"Amount needed to be added to Qkard from bank account in order to make payment. ",Zero transaction fee,
