Headline,Apple,Netflix,Nike,Position
Something bigger,Revolutionary innovation,Escape from reality,Reach your full human potential,4
Emotional benefits,Freedom,"Satisfied, delighted",Mentally and physically empowered,3
Product benefits,"Ease of use, creativity, productivity","Convenience, selection, value","Look great, perform, get fit",2
Product attributes,Mobile digital products and services,"Streaming TV shows, movies, and original content","Fashionable, lightweight, durable athletic wear",1
