Company,Country,Founded,Key Features,Total Funding ($ Millions),Valuation
Adobe,Investor%20FAQs/Flag_of_the_United_States.svg,1982,"AI video editors, AI art generators, AI image generators, AI design tools",2.5,$272.78 billion
RunwayML,Investor%20FAQs/Flag_of_the_United_States%201.svg,2018,"Applied AI research company, AI video editing platform",236.5,$1.5 billion
Midjourney,Investor%20FAQs/Flag_of_the_United_States%202.svg,2021,"Non-profit research lab, Discord bot for Image generation and Manipulation",200,$1 billion
Canva,Investor%20FAQs/aus.png,2013,"• Social media posts template library
• Simple design experience
• Thousands of templates, icons, and graphics
• Stock photo library",572.6,$39 billion
